Run #,AR Order,MA Order,MA 1-lag Coeff,MA 2-lag Coeff,MA 3-lag Coeff,MA 4-lag Coeff,MA 5-lag Coeff,MA 6-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Fitted MA 3-lag Coeff,Fitted MA 4-lag Coeff,Fitted MA 5-lag Coeff,Fitted MA 6-lag Coeff,Fitted MA 7-lag Coeff,Fitted MA 8-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff,Diff in MA 3-lag Coeff,Diff in MA 4-lag Coeff,Diff in MA 5-lag Coeff,Diff in MA 6-lag Coeff,Diff in MA 7-lag Coeff,Diff in MA 8-lag Coeff
0,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.040216181274365964,0.047350204277572146,0.4074984016923985,0.007764000162359792,0.2737781456709018,0.2819231322384799,0,0,0,0,0.040216181274365964,0.047350204277572146,0.8074984016923985,0.007764000162359792,0.5737781456709018,0.5819231322384799,0,0
1,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.05297640546853057,-0.01166711876997663,0.3638779750052622,0.033057214711239964,0.33824335690983887,0.30271013316587136,0,0,0,0,0.05297640546853057,-0.01166711876997663,0.7638779750052622,0.033057214711239964,0.6382433569098389,0.6027101331658713,0,0
2,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.04719284839956596,0.023486600456338935,0.385827063044295,0.03955857502440471,0.3324568466191102,0.29233656329759156,0,0,0,0,0.04719284839956596,0.023486600456338935,0.785827063044295,0.03955857502440471,0.6324568466191102,0.5923365632975915,0,0
3,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.03538963274683124,0.055156805609905865,0.39303352370902433,0.005384942599927455,0.3306535890238901,0.341186429132544,0,0,0,0,0.03538963274683124,0.055156805609905865,0.7930335237090244,0.005384942599927455,0.63065358902389,0.641186429132544,0,0
4,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.008666980624150986,-0.031246207516236087,0.3990186932066622,0.011953162933307634,0.31279734295928185,0.3211660038696376,0,0,0,0,-0.008666980624150986,-0.031246207516236087,0.7990186932066623,0.011953162933307634,0.6127973429592819,0.6211660038696376,0,0
5,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.025525347231595635,0.02633046898261648,0.4037470690563752,-0.009834864353897686,0.2646661965007835,0.30517488185820796,0,0,0,0,-0.025525347231595635,0.02633046898261648,0.8037470690563753,-0.009834864353897686,0.5646661965007835,0.6051748818582079,0,0
6,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.024153064806642352,0.009886742635930265,0.3972097736354704,-0.035656468141143725,0.30262650555168397,0.2987564228551196,0,0,0,0,-0.024153064806642352,0.009886742635930265,0.7972097736354704,-0.035656468141143725,0.602626505551684,0.5987564228551197,0,0
7,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.04785528292770978,-0.01082678907073597,0.38602282040889646,0.0005339029898379193,0.2906778636947338,0.35295278477046677,0,0,0,0,0.04785528292770978,-0.01082678907073597,0.7860228204088965,0.0005339029898379193,0.5906778636947339,0.6529527847704668,0,0
8,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.018092007966579296,-0.01983548320888924,0.35611998729675043,0.010595322880852156,0.32280675884772203,0.2668151669081506,0,0,0,0,0.018092007966579296,-0.01983548320888924,0.7561199872967505,0.010595322880852156,0.622806758847722,0.5668151669081506,0,0
9,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.01882607601730585,0.0398728512836668,0.39931155769045357,-0.10669088148664016,0.30414894660070385,0.3756026041333167,0,0,0,0,0.01882607601730585,0.0398728512836668,0.7993115576904536,-0.10669088148664016,0.6041489466007038,0.6756026041333167,0,0
10,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.04867212576298707,0.030216516424140655,0.34939932461790907,0.012214692758407674,0.3077357127574953,0.3475833706523689,0,0,0,0,-0.04867212576298707,0.030216516424140655,0.7493993246179091,0.012214692758407674,0.6077357127574953,0.6475833706523688,0,0
11,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.01902836671974581,-0.0396250647377075,0.3830129591580588,0.005661452521776359,0.2637565827025253,0.3284539141574607,0,0,0,0,0.01902836671974581,-0.0396250647377075,0.7830129591580588,0.005661452521776359,0.5637565827025253,0.6284539141574608,0,0
12,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.007886052232804516,-0.04819780889239423,0.37731885467692683,0.0028210948972734115,0.32225862204071387,0.3027447563568128,0,0,0,0,-0.007886052232804516,-0.04819780889239423,0.7773188546769269,0.0028210948972734115,0.6222586220407138,0.6027447563568128,0,0
13,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.024299091614479212,-0.03163517886125073,0.43218916746715186,0.009378812898992658,0.26576060144825264,0.2948174444224185,0,0,0,0,0.024299091614479212,-0.03163517886125073,0.8321891674671519,0.009378812898992658,0.5657606014482526,0.5948174444224185,0,0
14,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.011891246060164201,-0.02222758303584495,0.36440915992750345,-0.04737861190671663,0.34930298667673326,0.2777587011473133,0,0,0,0,-0.011891246060164201,-0.02222758303584495,0.7644091599275035,-0.04737861190671663,0.6493029866767333,0.5777587011473133,0,0
15,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.10108122687810567,-0.04816602843237171,0.38230096619830345,-0.030327791668600616,0.2741466377095035,0.26027640619195386,0,0,0,0,-0.10108122687810567,-0.04816602843237171,0.7823009661983035,-0.030327791668600616,0.5741466377095035,0.5602764061919538,0,0
16,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.005235975268961746,-0.014048589251799495,0.4443328251726146,-0.026859939567246312,0.29240901205142983,0.31262958429282545,0,0,0,0,-0.005235975268961746,-0.014048589251799495,0.8443328251726145,-0.026859939567246312,0.5924090120514298,0.6126295842928254,0,0
17,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.006404384482504438,0.0755405081544363,0.45492805592711516,0.011431191353839572,0.3378873858783005,0.3651028256033258,0,0,0,0,0.006404384482504438,0.0755405081544363,0.8549280559271152,0.011431191353839572,0.6378873858783005,0.6651028256033258,0,0
18,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.020036711402398988,0.017686455011499926,0.406783569280535,-0.02816181324917027,0.29646592890778845,0.297436417844691,0,0,0,0,0.020036711402398988,0.017686455011499926,0.806783569280535,-0.02816181324917027,0.5964659289077885,0.5974364178446909,0,0
19,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.029965733047208884,0.029965924792482605,0.36329945144445785,0.006927419508750537,0.3537635772516355,0.3460533197739188,0,0,0,0,0.029965733047208884,0.029965924792482605,0.7632994514444579,0.006927419508750537,0.6537635772516355,0.6460533197739188,0,0
20,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.09394425821070747,-0.012607701332596519,0.37168937269142804,-0.025340495254032157,0.2974754650140775,0.2874816393846578,0,0,0,0,-0.09394425821070747,-0.012607701332596519,0.771689372691428,-0.025340495254032157,0.5974754650140774,0.5874816393846578,0,0
