Run #,AR Order,MA Order,AR 1-lag Coeff,AR 2-lag Coeff,AR 3-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted AR 3-lag Coeff,Fitted AR 4-lag Coeff,Fitted AR 5-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in AR 3-lag Coeff,Diff in AR 4-lag Coeff,Diff in AR 5-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff
0,3,0,0,0.2,0.8,3,0,0.026800812990274,-0.208387604188965,-0.780380281181131,0,0,0,0,0.026800812990274,-0.008387604188965,0.019619718818869,0,0,0,0
1,3,0,0,0.2,0.8,3,0,0.049546916107609,-0.218857867905276,-0.782596651670025,0,0,0,0,0.049546916107609,-0.018857867905276,0.017403348329975,0,0,0,0
2,3,0,0,0.2,0.8,3,0,-0.025231723933882,-0.155191218824625,-0.8304421236685,0,0,0,0,-0.025231723933882,0.044808781175375,-0.0304421236685,0,0,0,0
3,3,0,0,0.2,0.8,3,0,-0.013744291621965,-0.217502317690745,-0.805488228958491,0,0,0,0,-0.013744291621965,-0.017502317690745,-0.005488228958491,0,0,0,0
4,3,0,0,0.2,0.8,3,0,0.005324501008236,-0.196838081816754,-0.806109204077838,0,0,0,0,0.005324501008236,0.003161918183246,-0.006109204077838,0,0,0,0
5,3,0,0,0.2,0.8,3,0,-0.00929383157549,-0.173323868344518,-0.819536486954726,0,0,0,0,-0.00929383157549,0.026676131655482,-0.019536486954726,0,0,0,0
6,3,0,0,0.2,0.8,3,0,-0.006145486949093,-0.183900829429686,-0.804654007359702,0,0,0,0,-0.006145486949093,0.016099170570314,-0.004654007359702,0,0,0,0
7,3,0,0,0.2,0.8,3,0,-0.038580151956956,-0.215754787465136,-0.797333739439975,0,0,0,0,-0.038580151956956,-0.015754787465136,0.002666260560025,0,0,0,0
8,3,0,0,0.2,0.8,3,0,-0.030751026908248,-0.209740305102854,-0.819370890123241,0,0,0,0,-0.030751026908248,-0.009740305102854,-0.019370890123241,0,0,0,0
9,3,0,0,0.2,0.8,3,0,-0.019503254054055,-0.197913227952713,-0.803582670640868,0,0,0,0,-0.019503254054055,0.002086772047287,-0.003582670640868,0,0,0,0
10,3,0,0,0.2,0.8,3,0,-0.014987957555082,-0.186971611810964,-0.816495909492341,0,0,0,0,-0.014987957555082,0.013028388189036,-0.016495909492341,0,0,0,0
11,3,0,0,0.2,0.8,3,0,-0.013946755527066,-0.162704314742485,-0.831493107698629,0,0,0,0,-0.013946755527066,0.037295685257515,-0.031493107698629,0,0,0,0
12,3,0,0,0.2,0.8,3,0,-0.013882442276526,-0.14284959620814,-0.809763625577078,0,0,0,0,-0.013882442276526,0.057150403791861,-0.009763625577078,0,0,0,0
13,3,0,0,0.2,0.8,3,0,-0.006619369623513,-0.200522274938401,-0.774820446193236,0,0,0,0,-0.006619369623513,-0.000522274938401,0.025179553806764,0,0,0,0
14,3,0,0,0.2,0.8,3,0,0.023805170849647,-0.214877110803656,-0.788092918657707,0,0,0,0,0.023805170849647,-0.014877110803656,0.011907081342293,0,0,0,0
15,3,0,0,0.2,0.8,3,0,-0.016389120217518,-0.18329884961297,-0.79358878785763,0,0,0,0,-0.016389120217518,0.01670115038703,0.00641121214237,0,0,0,0
16,3,0,0,0.2,0.8,3,0,-0.02551502707714,-0.187906338828737,-0.798751797559233,0,0,0,0,-0.02551502707714,0.012093661171263,0.001248202440767,0,0,0,0
17,3,0,0,0.2,0.8,3,0,-0.0022428821644,-0.170539945319368,-0.794945213537229,0,0,0,0,-0.0022428821644,0.029460054680632,0.005054786462771,0,0,0,0
18,3,0,0,0.2,0.8,3,0,-9.40527725875606E-05,-0.205948429393189,-0.815619491750819,0,0,0,0,-9.40527725875606E-05,-0.005948429393189,-0.015619491750819,0,0,0,0
19,3,0,0,0.2,0.8,3,0,0.013985309659304,-0.228651469737806,-0.78695743983255,0,0,0,0,0.013985309659304,-0.028651469737806,0.01304256016745,0,0,0,0
20,3,0,0,0.2,0.8,3,0,-0.00673001387173,-0.209132999792679,-0.804013069222665,0,0,0,0,-0.00673001387173,-0.009132999792679,-0.004013069222665,0,0,0,0
21,3,0,0,0.2,0.8,3,0,-0.017914707483079,-0.189893217528251,-0.788349726061854,0,0,0,0,-0.017914707483079,0.010106782471749,0.011650273938146,0,0,0,0
22,3,0,0,0.2,0.8,3,0,-0.009503770071981,-0.206399008969942,-0.802549484966319,0,0,0,0,-0.009503770071981,-0.006399008969942,-0.002549484966319,0,0,0,0
23,3,0,0,0.2,0.8,3,0,0.043949710523999,-0.223236214047612,-0.776478398868922,0,0,0,0,0.043949710523999,-0.023236214047612,0.023521601131078,0,0,0,0
24,3,0,0,0.2,0.8,3,0,-0.009886624601501,-0.200877870911097,-0.805823855302537,0,0,0,0,-0.009886624601501,-0.000877870911097,-0.005823855302537,0,0,0,0
25,3,0,0,0.2,0.8,3,0,-0.02399934321683,-0.17075610434952,-0.797993883152903,0,0,0,0,-0.02399934321683,0.02924389565048,0.002006116847097,0,0,0,0
26,3,0,0,0.2,0.8,3,0,-0.003077248082224,-0.238929040929275,-0.785053318666854,0,0,0,0,-0.003077248082224,-0.038929040929275,0.014946681333146,0,0,0,0
27,3,0,0,0.2,0.8,3,0,-0.007592200265639,-0.19669730450809,-0.825842323302395,0,0,0,0,-0.007592200265639,0.00330269549191,-0.025842323302395,0,0,0,0
28,3,0,0,0.2,0.8,3,0,0.042951355393205,-0.202797272650668,-0.764146265412768,0,0,0,0,0.042951355393205,-0.002797272650668,0.035853734587232,0,0,0,0
29,3,0,0,0.2,0.8,3,0,-0.024699501659302,-0.193406210099621,-0.791215597762637,0,0,0,0,-0.024699501659302,0.006593789900379,0.008784402237363,0,0,0,0
30,3,0,0,0.2,0.8,3,0,0.005862803865577,-0.213856512744453,-0.81443204688802,0,0,0,0,0.005862803865577,-0.013856512744453,-0.01443204688802,0,0,0,0
31,3,0,0,0.2,0.8,3,0,0.028484674103949,-0.212598515564931,-0.781058550832958,0,0,0,0,0.028484674103949,-0.012598515564931,0.018941449167042,0,0,0,0
32,3,0,0,0.2,0.8,3,0,0.027604685827037,-0.220481742091483,-0.773240852642787,0,0,0,0,0.027604685827037,-0.020481742091483,0.026759147357213,0,0,0,0
33,3,0,0,0.2,0.8,3,0,0.031493025695659,-0.23266146255238,-0.764323302343847,0,0,0,0,0.031493025695659,-0.03266146255238,0.035676697656153,0,0,0,0
34,3,0,0,0.2,0.8,3,0,-0.010978791646781,-0.202060882807754,-0.79972909519084,0,0,0,0,-0.010978791646781,-0.002060882807754,0.00027090480916,0,0,0,0
35,3,0,0,0.2,0.8,3,0,0.025860824438089,-0.250811158602901,-0.74888511377783,0,0,0,0,0.025860824438089,-0.050811158602901,0.05111488622217,0,0,0,0
36,3,0,0,0.2,0.8,3,0,-0.02069540296473,-0.208726141340213,-0.813069667057018,0,0,0,0,-0.02069540296473,-0.008726141340213,-0.013069667057018,0,0,0,0
37,3,0,0,0.2,0.8,3,0,0.008049735084996,-0.211024459329644,-0.77881997341888,0,0,0,0,0.008049735084996,-0.011024459329644,0.02118002658112,0,0,0,0
38,3,0,0,0.2,0.8,3,0,0.006297344778482,-0.194374930429505,-0.801135141774979,0,0,0,0,0.006297344778482,0.005625069570495,-0.001135141774979,0,0,0,0
39,3,0,0,0.2,0.8,3,0,0.009712462881033,-0.179051912820803,-0.77399785517485,0,0,0,0,0.009712462881033,0.020948087179198,0.02600214482515,0,0,0,0
40,3,0,0,0.2,0.8,3,0,0.002190009964539,-0.205030397861803,-0.792908735235462,0,0,0,0,0.002190009964539,-0.005030397861803,0.007091264764538,0,0,0,0
41,3,0,0,0.2,0.8,3,0,0.018603733981595,-0.213528219339062,-0.782387656320901,0,0,0,0,0.018603733981595,-0.013528219339062,0.017612343679099,0,0,0,0
42,3,0,0,0.2,0.8,3,0,-0.00835612084246,-0.184062189198066,-0.819742305722949,0,0,0,0,-0.00835612084246,0.015937810801934,-0.019742305722949,0,0,0,0
43,3,0,0,0.2,0.8,3,0,0.026266337708906,-0.211957481485478,-0.772043219934387,0,0,0,0,0.026266337708906,-0.011957481485478,0.027956780065613,0,0,0,0
44,3,0,0,0.2,0.8,3,0,0.019595659374045,-0.203685506921978,-0.78431110538644,0,0,0,0,0.019595659374045,-0.003685506921978,0.01568889461356,0,0,0,0
45,3,0,0,0.2,0.8,3,0,-0.026206017930277,-0.21855640748195,-0.785019243737035,0,0,0,0,-0.026206017930277,-0.018556407481951,0.014980756262965,0,0,0,0
46,3,0,0,0.2,0.8,3,0,-0.011370669138355,-0.200362136645294,-0.80794527789099,0,0,0,0,-0.011370669138355,-0.000362136645294,-0.00794527789099,0,0,0,0
