Run #,AR Order,MA Order,AR 1-lag Coeff,AR 2-lag Coeff,AR 3-lag Coeff,AR 4-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted AR 3-lag Coeff,Fitted AR 4-lag Coeff,Fitted AR 5-lag Coeff,Fitted AR 6-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in AR 3-lag Coeff,Diff in AR 4-lag Coeff,Diff in AR 5-lag Coeff,Diff in AR 6-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff
0,4,0,0,0,0,0.8,4,0,0.003431360290763,0.002774625689961,-0.008865981133999,-0.798381681385384,0,0,0,0,0.003431360290763,0.002774625689961,-0.008865981133999,0.001618318614616,0,0,0,0
1,4,0,0,0,0,0.8,4,0,-0.002326134224228,0.007933328676378,-0.034045610878929,-0.802914795890334,0,0,0,0,-0.002326134224228,0.007933328676378,-0.034045610878929,-0.002914795890335,0,0,0,0
2,4,0,0,0,0,0.8,4,0,0.009616807614866,-0.027045461690798,-0.043766637354944,-0.773232076525701,0,0,0,0,0.009616807614866,-0.027045461690798,-0.043766637354944,0.026767923474299,0,0,0,0
3,4,0,0,0,0,0.8,4,0,0.015920513286719,-0.020926965386782,-0.008419839862859,-0.811921858221962,0,0,0,0,0.015920513286719,-0.020926965386782,-0.008419839862859,-0.011921858221962,0,0,0,0
4,4,0,0,0,0,0.8,4,0,-0.002878597032208,-0.020762134961743,0.003576364795126,-0.800722677202778,0,0,0,0,-0.002878597032208,-0.020762134961743,0.003576364795126,-0.000722677202778,0,0,0,0
5,4,0,0,0,0,0.8,4,0,-0.002399542213334,0.020943587232102,0.018206874779751,-0.801290972720189,0,0,0,0,-0.002399542213334,0.020943587232102,0.018206874779751,-0.001290972720189,0,0,0,0
6,4,0,0,0,0,0.8,4,0,0.010874077385209,0.014024820084897,-0.007825208019375,-0.80196141903168,0,0,0,0,0.010874077385209,0.014024820084897,-0.007825208019375,-0.00196141903168,0,0,0,0
7,4,0,0,0,0,0.8,4,0,-0.003519366823893,0.037364124824142,-0.020683079389176,-0.809804960624141,0,0,0,0,-0.003519366823893,0.037364124824142,-0.020683079389176,-0.009804960624141,0,0,0,0
8,4,0,0,0,0,0.8,4,0,0.000372740455433,0.023756290323937,0.025747153436507,-0.782429587994963,0,0,0,0,0.000372740455433,0.023756290323937,0.025747153436507,0.017570412005037,0,0,0,0
9,4,0,0,0,0,0.8,4,0,0.002551967011857,-0.015152821559666,0.009017344797871,-0.822878573676051,0,0,0,0,0.002551967011857,-0.015152821559666,0.009017344797871,-0.022878573676051,0,0,0,0
10,4,0,0,0,0,0.8,4,0,-0.016546697035952,-0.012793104472502,-0.018532404711191,-0.77925674106427,0,0,0,0,-0.016546697035952,-0.012793104472502,-0.018532404711191,0.02074325893573,0,0,0,0
11,4,0,0,0,0,0.8,4,0,-0.021898917923012,0.011434661837205,-0.020391689810226,-0.794609902690597,0,0,0,0,-0.021898917923012,0.011434661837205,-0.020391689810226,0.005390097309403,0,0,0,0
12,4,0,0,0,0,0.8,4,0,-0.006153958517047,-0.008919769672815,-0.039148654873646,-0.783046716748468,0,0,0,0,-0.006153958517047,-0.008919769672815,-0.039148654873646,0.016953283251533,0,0,0,0
13,4,0,0,0,0,0.8,4,0,0.015940523672366,-0.067773249079531,0.022335267969491,-0.771836525343599,0,0,0,0,0.015940523672366,-0.067773249079531,0.022335267969491,0.028163474656401,0,0,0,0
14,4,0,0,0,0,0.8,4,0,0.001178730068508,-0.027078817629405,0.047272160687931,-0.763761566536611,0,0,0,0,0.001178730068508,-0.027078817629405,0.047272160687931,0.036238433463389,0,0,0,0
15,4,0,0,0,0,0.8,4,0,-0.041060283782539,-0.036693313057132,-0.014834977148484,-0.796557103345202,0,0,0,0,-0.041060283782539,-0.036693313057132,-0.014834977148484,0.003442896654798,0,0,0,0
16,4,0,0,0,0,0.8,4,0,0.025382224539373,0.009672843260547,0.009178432058084,-0.8010574219011,0,0,0,0,0.025382224539373,0.009672843260547,0.009178432058084,-0.0010574219011,0,0,0,0
17,4,0,0,0,0,0.8,4,0,-0.004169802562196,-0.021951624873757,-0.007454575148002,-0.8239342918644,0,0,0,0,-0.004169802562196,-0.021951624873757,-0.007454575148002,-0.0239342918644,0,0,0,0
18,4,0,0,0,0,0.8,4,0,0.007290090012174,0.004316215358035,-0.021075653441432,-0.806470692347546,0,0,0,0,0.007290090012174,0.004316215358035,-0.021075653441432,-0.006470692347546,0,0,0,0
19,4,0,0,0,0,0.8,4,0,0.038108437338604,-0.045878736361622,0.015669479395944,-0.782511540249787,0,0,0,0,0.038108437338604,-0.045878736361622,0.015669479395944,0.017488459750213,0,0,0,0
20,4,0,0,0,0,0.8,4,0,0.009171682478848,0.016791890372483,0.007773213188849,-0.841802529994199,0,0,0,0,0.009171682478848,0.016791890372483,0.007773213188849,-0.041802529994199,0,0,0,0
21,4,0,0,0,0,0.8,4,0,-0.005110965739187,-0.047543167411034,0.003651753507887,-0.80003072299132,0,0,0,0,-0.005110965739187,-0.047543167411034,0.003651753507887,-3.07229913198981E-05,0,0,0,0
22,4,0,0,0,0,0.8,4,0,-0.025973298293133,0.031858755998567,-0.004880707947237,-0.811634088057129,0,0,0,0,-0.025973298293133,0.031858755998567,-0.004880707947237,-0.011634088057129,0,0,0,0
23,4,0,0,0,0,0.8,4,0,0.008925469847491,0.003008193227443,0.003490425490013,-0.776910697882068,0,0,0,0,0.008925469847491,0.003008193227443,0.003490425490013,0.023089302117932,0,0,0,0
24,4,0,0,0,0,0.8,4,0,0.000716499053595,-0.019446436556161,-0.00114698912629,-0.806728983021465,0,0,0,0,0.000716499053595,-0.019446436556161,-0.00114698912629,-0.006728983021465,0,0,0,0
25,4,0,0,0,0,0.8,4,0,0.012531636414149,-0.002258282241673,-0.015923610583223,-0.809297296227749,0,0,0,0,0.012531636414149,-0.002258282241673,-0.015923610583223,-0.009297296227749,0,0,0,0
26,4,0,0,0,0,0.8,4,0,-0.005192858292802,0.006041500884555,0.003017952402862,-0.826042439002883,0,0,0,0,-0.005192858292802,0.006041500884555,0.003017952402862,-0.026042439002883,0,0,0,0
27,4,0,0,0,0,0.8,4,0,-0.008378365166176,-0.012893655974196,-0.021157835592801,-0.794677396384667,0,0,0,0,-0.008378365166176,-0.012893655974196,-0.021157835592801,0.005322603615333,0,0,0,0
28,4,0,0,0,0,0.8,4,0,-0.036535067364228,-0.025899506469414,-0.00852694477483,-0.81531389843803,0,0,0,0,-0.036535067364228,-0.025899506469414,-0.00852694477483,-0.01531389843803,0,0,0,0
29,4,0,0,0,0,0.8,4,0,0.019856679816818,0.003949255701947,0.009759034482762,-0.82199198978755,0,0,0,0,0.019856679816818,0.003949255701947,0.009759034482762,-0.02199198978755,0,0,0,0
30,4,0,0,0,0,0.8,4,0,0.016966890670301,0.005034992382149,-0.015019420767363,-0.821681080265772,0,0,0,0,0.016966890670301,0.005034992382149,-0.015019420767363,-0.021681080265773,0,0,0,0
31,4,0,0,0,0,0.8,4,0,-0.024467589030667,0.002448865506944,-0.009192981117092,-0.778741099291891,0,0,0,0,-0.024467589030667,0.002448865506944,-0.009192981117092,0.02125890070811,0,0,0,0
32,4,0,0,0,0,0.8,4,0,0.00943898794597,0.024576334007096,0.001202352287754,-0.789595025630889,0,0,0,0,0.00943898794597,0.024576334007096,0.001202352287754,0.010404974369111,0,0,0,0
33,4,0,0,0,0,0.8,4,0,-0.028625480403457,-0.005390886961277,0.023618819379769,-0.783816225702857,0,0,0,0,-0.028625480403457,-0.005390886961277,0.023618819379769,0.016183774297143,0,0,0,0
34,4,0,0,0,0,0.8,4,0,0.008758116692107,0.018041627500336,0.007024222956485,-0.770870815862706,0,0,0,0,0.008758116692107,0.018041627500336,0.007024222956485,0.029129184137295,0,0,0,0
35,4,0,0,0,0,0.8,4,0,-0.012624775584161,-0.019466688607593,0.00545145115882,-0.819209419371617,0,0,0,0,-0.012624775584161,-0.019466688607593,0.00545145115882,-0.019209419371617,0,0,0,0
36,4,0,0,0,0,0.8,4,0,0.010440806867032,0.001180247047013,0.013201219465543,-0.79990035229688,0,0,0,0,0.010440806867032,0.001180247047013,0.013201219465543,9.96477031204313E-05,0,0,0,0
37,4,0,0,0,0,0.8,4,0,0.011224040777348,-0.011303324924681,0.015802032603041,-0.818071138384043,0,0,0,0,0.011224040777348,-0.011303324924681,0.015802032603041,-0.018071138384043,0,0,0,0
38,4,0,0,0,0,0.8,4,0,0.024756333882534,-0.009846578659007,-0.041593249174715,-0.807732172899548,0,0,0,0,0.024756333882534,-0.009846578659007,-0.041593249174715,-0.007732172899548,0,0,0,0
39,4,0,0,0,0,0.8,4,0,0.005768576777007,0.005613195868788,0.02660251331143,-0.811885375904675,0,0,0,0,0.005768576777007,0.005613195868788,0.02660251331143,-0.011885375904675,0,0,0,0
40,4,0,0,0,0,0.8,4,0,0.021551958169814,0.003637351738624,-0.028706567127487,-0.782932211251523,0,0,0,0,0.021551958169814,0.003637351738624,-0.028706567127487,0.017067788748478,0,0,0,0
41,4,0,0,0,0,0.8,4,0,-0.008205067280828,-0.007705663650117,0.043846468178447,-0.820290783743304,0,0,0,0,-0.008205067280828,-0.007705663650117,0.043846468178447,-0.020290783743304,0,0,0,0
42,4,0,0,0,0,0.8,4,0,-0.019910589756637,-0.015934351322381,-0.003077942974117,-0.751472809561289,0,0,0,0,-0.019910589756637,-0.015934351322381,-0.003077942974117,0.048527190438711,0,0,0,0
43,4,0,0,0,0,0.8,4,0,0.001589665141977,0.013809658659272,0.031132366325373,-0.812668340971516,0,0,0,0,0.001589665141977,0.013809658659272,0.031132366325373,-0.012668340971516,0,0,0,0
44,4,0,0,0,0,0.8,4,0,0.004244151457089,-0.017565123503902,0.022357528132043,-0.835418075925031,0,0,0,0,0.004244151457089,-0.017565123503902,0.022357528132043,-0.035418075925031,0,0,0,0
45,4,0,0,0,0,0.8,4,0,0.045749644911728,0.002781354157024,-0.036128734981887,-0.76477225912508,0,0,0,0,0.045749644911728,0.002781354157024,-0.036128734981887,0.035227740874921,0,0,0,0
46,4,0,0,0,0,0.8,4,0,-0.045011241523146,0.01060636428104,0.011363979813116,-0.777024930762432,0,0,0,0,-0.045011241523146,0.01060636428104,0.011363979813116,0.022975069237568,0,0,0,0
47,4,0,0,0,0,0.8,4,0,-0.000743835255193,0.014121512891734,-0.018799604618254,-0.789277404177847,0,0,0,0,-0.000743835255193,0.014121512891734,-0.018799604618254,0.010722595822153,0,0,0,0
48,4,0,0,0,0,0.8,4,0,0.020157028918777,-0.034193130252735,0.000472775318968,-0.803713145447338,0,0,0,0,0.020157028918777,-0.034193130252735,0.000472775318968,-0.003713145447338,0,0,0,0
49,4,0,0,0,0,0.8,4,0,0.036867196144752,-0.010186536313497,0.020640587816441,-0.807674926885572,0,0,0,0,0.036867196144752,-0.010186536313497,0.020640587816441,-0.007674926885572,0,0,0,0
50,4,0,0,0,0,0.8,4,0,-0.024469531963269,0.019126218849578,-0.01779233581032,-0.780006890671184,0,0,0,0,-0.024469531963269,0.019126218849578,-0.01779233581032,0.019993109328816,0,0,0,0
