Run #,AR Order,MA Order,AR 1-lag Coeff,AR 2-lag Coeff,AR 3-lag Coeff,AR 4-lag Coeff,AR 5-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted AR 3-lag Coeff,Fitted AR 4-lag Coeff,Fitted AR 5-lag Coeff,Fitted AR 6-lag Coeff,Fitted AR 7-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in AR 3-lag Coeff,Diff in AR 4-lag Coeff,Diff in AR 5-lag Coeff,Diff in AR 6-lag Coeff,Diff in AR 7-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff
0,5,0,0,0.5,0,0,0.5,5,0,-0.014797147813111,-0.493441711641945,-0.084670846436209,-0.029644452905772,-0.552676762316255,0,0,0,0,-0.014797147813111,0.006558288358055,-0.084670846436209,-0.029644452905772,-0.052676762316255,0,0,0,0
1,5,0,0,0.5,0,0,0.5,5,0,0.04696996502039,-0.523979681748126,0.046912794732927,-0.03861171162447,-0.495973992772434,0,0,0,0,0.04696996502039,-0.023979681748126,0.046912794732927,-0.03861171162447,0.004026007227566,0,0,0,0
2,5,0,0,0.5,0,0,0.5,5,0,0.026788640039113,-0.48534190351468,0.081793141727796,0.013586420165099,-0.477622258970292,0,0,0,0,0.026788640039113,0.01465809648532,0.081793141727796,0.013586420165099,0.022377741029708,0,0,0,0
3,5,0,0,0.5,0,0,0.5,5,0,0.010821045133547,-0.504803650462682,0.019779687623316,0.01881907691686,-0.479819117344637,0,0,0,0,0.010821045133547,-0.004803650462682,0.019779687623316,0.01881907691686,0.020180882655363,0,0,0,0
4,5,0,0,0.5,0,0,0.5,5,0,-0.016000833737543,-0.480476580703485,-0.001556217941941,0.02090757775453,-0.478967276757376,0,0,0,0,-0.016000833737543,0.019523419296515,-0.001556217941941,0.02090757775453,0.021032723242624,0,0,0,0
5,5,0,0,0.5,0,0,0.5,5,0,0.003256159723933,-0.505600389089157,0.019945977907143,0.021030007052826,-0.489974317241002,0,0,0,0,0.003256159723933,-0.005600389089157,0.019945977907143,0.021030007052826,0.010025682758998,0,0,0,0
6,5,0,0,0.5,0,0,0.5,5,0,0.013817390141363,-0.442688516643862,0.004690638635119,0.041937690477144,-0.522482084821469,0,0,0,0,0.013817390141363,0.057311483356139,0.004690638635119,0.041937690477144,-0.022482084821469,0,0,0,0
7,5,0,0,0.5,0,0,0.5,5,0,0.007930141027766,-0.526084905777004,0.036920400243627,-0.013888124042609,-0.453285172160393,0,0,0,0,0.007930141027766,-0.026084905777004,0.036920400243627,-0.013888124042609,0.046714827839607,0,0,0,0
8,5,0,0,0.5,0,0,0.5,5,0,0.017242315521253,-0.484075337121848,-0.000560147728803,-0.003525971857169,-0.50354451023911,0,0,0,0,0.017242315521253,0.015924662878152,-0.000560147728803,-0.003525971857169,-0.00354451023911,0,0,0,0
9,5,0,0,0.5,0,0,0.5,5,0,-0.039654848806824,-0.513182479861262,-0.001952079920488,-0.005833441396079,-0.481535524297641,0,0,0,0,-0.039654848806824,-0.013182479861262,-0.001952079920488,-0.005833441396079,0.018464475702359,0,0,0,0
