Run #,AR Order,MA Order,MA 1-lag Coeff,MA 2-lag Coeff,MA 3-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Fitted MA 3-lag Coeff,Fitted MA 4-lag Coeff,Fitted MA 5-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff,Diff in MA 3-lag Coeff,Diff in MA 4-lag Coeff,Diff in MA 5-lag Coeff
0,0,3,0,0.2,0.8,0,3,0,0,-0.019453447314508,0.210123853371577,0.783305488464657,0,0,0,0,0.019453447314508,-0.010123853371577,0.016694511535343,0,0
1,0,3,0,0.2,0.8,0,3,0,0,0.044709310039493,0.193642487198585,0.860366231192827,0,0,0,0,-0.044709310039493,0.006357512801415,-0.060366231192827,0,0
2,0,3,0,0.2,0.8,0,3,0,0,-0.026982013517755,0.209050293650952,0.738597168547998,0,0,0,0,0.026982013517755,-0.009050293650952,0.061402831452002,0,0
3,0,3,0,0.2,0.8,0,3,0,0,-0.028160399645474,0.221498869531242,0.775387390319465,0,0,0,0,0.028160399645474,-0.021498869531242,0.024612609680535,0,0
4,0,3,0,0.2,0.8,0,3,0,0,-0.018111722605701,0.236080711124073,0.761615777189495,0,0,0,0,0.018111722605701,-0.036080711124073,0.038384222810505,0,0
5,0,3,0,0.2,0.8,1,4,-0.927896345613962,0,0.920855469605985,0.199577124512745,1.00940392128334,0.738048241465517,0,-0.927896345613962,0,-0.920855469605985,0.000422875487255,-0.209403921283341,-0.738048241465517,0
6,0,3,0,0.2,0.8,0,3,0,0,-0.007524894095041,0.210631824499341,0.806139595977008,0,0,0,0,0.007524894095041,-0.010631824499341,-0.006139595977008,0,0
7,0,3,0,0.2,0.8,0,3,0,0,-0.006122031296562,0.212615645378829,0.813588123856009,0,0,0,0,0.006122031296562,-0.012615645378829,-0.013588123856009,0,0
8,0,3,0,0.2,0.8,0,3,0,0,-0.036093987223962,0.203280172510892,0.784762153609405,0,0,0,0,0.036093987223962,-0.003280172510892,0.015237846390595,0,0
9,0,3,0,0.2,0.8,0,3,0,0,0.021621602952919,0.202695643783609,0.818558193926582,0,0,0,0,-0.021621602952919,-0.002695643783609,-0.018558193926582,0,0
10,0,3,0,0.2,0.8,0,3,0,0,0.017902948970768,0.219429963347774,0.798930829998606,0,0,0,0,-0.017902948970768,-0.019429963347774,0.001069170001394,0,0
11,0,3,0,0.2,0.8,0,3,0,0,-0.001483638933852,0.218504313658694,0.767269723732216,0,0,0,0,0.001483638933852,-0.018504313658694,0.032730276267784,0,0
12,0,3,0,0.2,0.8,0,3,0,0,-0.021019827721296,0.189949578569954,0.780118324609219,0,0,0,0,0.021019827721296,0.010050421430046,0.019881675390781,0,0
13,0,3,0,0.2,0.8,0,3,0,0,-0.057488681586278,0.206838703878157,0.764254690021242,0,0,0,0,0.057488681586278,-0.006838703878157,0.035745309978758,0,0
14,0,3,0,0.2,0.8,0,3,0,0,-0.004507320207379,0.209168789764681,0.779533726964743,0,0,0,0,0.004507320207379,-0.009168789764681,0.020466273035257,0,0
15,0,3,0,0.2,0.8,0,3,0,0,0.005554062050569,0.201344914007717,0.797666108198917,0,0,0,0,-0.005554062050569,-0.001344914007717,0.002333891801083,0,0
16,0,3,0,0.2,0.8,0,3,0,0,0.001683034515875,0.215757049031209,0.79582587385485,0,0,0,0,-0.001683034515875,-0.015757049031209,0.00417412614515,0,0
17,0,3,0,0.2,0.8,0,3,0,0,-0.051935642933994,0.235443203181352,0.758668383790688,0,0,0,0,0.051935642933994,-0.035443203181352,0.041331616209312,0,0
18,0,3,0,0.2,0.8,0,3,0,0,0.009661415167975,0.17836033639171,0.811872094175254,0,0,0,0,-0.009661415167975,0.02163966360829,-0.011872094175254,0,0
19,0,3,0,0.2,0.8,0,3,0,0,-0.010588744518855,0.211302125014417,0.76566804367857,0,0,0,0,0.010588744518855,-0.011302125014418,0.03433195632143,0,0
20,0,3,0,0.2,0.8,0,3,0,0,0.004950080183336,0.181574033899363,0.838181770744296,0,0,0,0,-0.004950080183336,0.018425966100637,-0.038181770744297,0,0
21,0,3,0,0.2,0.8,0,3,0,0,-0.016814648629854,0.202217569334019,0.796214313796328,0,0,0,0,0.016814648629854,-0.002217569334019,0.003785686203672,0,0
22,0,3,0,0.2,0.8,0,3,0,0,0.001002570865888,0.185690554551456,0.792141567358904,0,0,0,0,-0.001002570865888,0.014309445448544,0.007858432641096,0,0
23,0,3,0,0.2,0.8,0,3,0,0,0.030934065633188,0.164329980275063,0.826111459500774,0,0,0,0,-0.030934065633188,0.035670019724937,-0.026111459500774,0,0
24,0,3,0,0.2,0.8,0,3,0,0,0.027993806692797,0.169336332760203,0.813264299289485,0,0,0,0,-0.027993806692797,0.030663667239797,-0.013264299289485,0,0
25,0,3,0,0.2,0.8,0,3,0,0,-0.03593265124814,0.21484994203895,0.789401305032122,0,0,0,0,0.03593265124814,-0.01484994203895,0.010598694967878,0,0
26,0,3,0,0.2,0.8,0,3,0,0,-0.015685661080196,0.207070371073455,0.804671935067424,0,0,0,0,0.015685661080196,-0.007070371073455,-0.004671935067424,0,0
27,0,3,0,0.2,0.8,0,3,0,0,0.006077048953789,0.172124683992134,0.814186242421074,0,0,0,0,-0.006077048953789,0.027875316007866,-0.014186242421074,0,0
28,0,3,0,0.2,0.8,0,3,0,0,0.020058600285442,0.193971489980429,0.829851523085755,0,0,0,0,-0.020058600285442,0.006028510019571,-0.029851523085755,0,0
29,0,3,0,0.2,0.8,0,3,0,0,0.0314880242422,0.172020760954865,0.816183812495311,0,0,0,0,-0.0314880242422,0.027979239045136,-0.016183812495311,0,0
30,0,3,0,0.2,0.8,0,3,0,0,0.006219369349549,0.204031773229011,0.789530833984319,0,0,0,0,-0.006219369349549,-0.004031773229011,0.010469166015681,0,0
31,0,3,0,0.2,0.8,0,3,0,0,-0.012770017011702,0.200146266146829,0.815744807535493,0,0,0,0,0.012770017011702,-0.000146266146829,-0.015744807535493,0,0
32,0,3,0,0.2,0.8,0,3,0,0,0.013550270832138,0.19216994392868,0.789815455487711,0,0,0,0,-0.013550270832138,0.00783005607132,0.010184544512289,0,0
33,0,3,0,0.2,0.8,0,3,0,0,-0.017666410604358,0.221021913096542,0.785926493641245,0,0,0,0,0.017666410604358,-0.021021913096543,0.014073506358755,0,0
34,0,3,0,0.2,0.8,0,3,0,0,0.017114511053484,0.171508154923089,0.811632808788819,0,0,0,0,-0.017114511053484,0.028491845076911,-0.011632808788819,0,0
35,0,3,0,0.2,0.8,0,3,0,0,-0.000760375172252,0.20817791326092,0.788993361609449,0,0,0,0,0.000760375172252,-0.00817791326092,0.011006638390551,0,0
36,0,3,0,0.2,0.8,0,3,0,0,0.022836726601105,0.207251828649007,0.823987079979454,0,0,0,0,-0.022836726601105,-0.007251828649007,-0.023987079979454,0,0
37,0,3,0,0.2,0.8,0,3,0,0,0.007279038493115,0.176787333217047,0.80107552681085,0,0,0,0,-0.007279038493115,0.023212666782953,-0.00107552681085,0,0
38,0,3,0,0.2,0.8,0,3,0,0,0.004976323586016,0.193458654032434,0.788839741403467,0,0,0,0,-0.004976323586016,0.006541345967566,0.011160258596533,0,0
39,0,3,0,0.2,0.8,0,3,0,0,-0.007430095972157,0.203445410870069,0.820722699575123,0,0,0,0,0.007430095972157,-0.003445410870069,-0.020722699575123,0,0
40,0,3,0,0.2,0.8,0,3,0,0,0.013416575371274,0.188330075868719,0.836313977386355,0,0,0,0,-0.013416575371274,0.011669924131282,-0.036313977386355,0,0
41,0,3,0,0.2,0.8,0,3,0,0,-0.006009250046116,0.227587020731307,0.794265749793338,0,0,0,0,0.006009250046116,-0.027587020731307,0.005734250206662,0,0
42,0,3,0,0.2,0.8,0,3,0,0,-0.039422914604103,0.232869793220597,0.767453655932553,0,0,0,0,0.039422914604103,-0.032869793220597,0.032546344067447,0,0
43,0,3,0,0.2,0.8,0,3,0,0,-0.056228662333662,0.234150357059216,0.775981929957932,0,0,0,0,0.056228662333662,-0.034150357059216,0.024018070042069,0,0
44,0,3,0,0.2,0.8,0,3,0,0,0.017341067091425,0.183775185245764,0.836881040286274,0,0,0,0,-0.017341067091425,0.016224814754236,-0.036881040286274,0,0
45,0,3,0,0.2,0.8,0,3,0,0,0.007100716537098,0.206517253897843,0.801185580794985,0,0,0,0,-0.007100716537098,-0.006517253897843,-0.001185580794985,0,0
46,0,3,0,0.2,0.8,0,3,0,0,-0.004177115231142,0.227274817937026,0.80187002350092,0,0,0,0,0.004177115231142,-0.027274817937026,-0.00187002350092,0,0
47,0,3,0,0.2,0.8,0,3,0,0,-0.001240872118602,0.194708589759025,0.795674798639782,0,0,0,0,0.001240872118602,0.005291410240975,0.004325201360218,0,0
48,0,3,0,0.2,0.8,0,3,0,0,0.003918158289999,0.229882102715294,0.800103450763042,0,0,0,0,-0.003918158289999,-0.029882102715294,-0.000103450763042,0,0
49,0,3,0,0.2,0.8,0,3,0,0,-0.006746573275164,0.197368279593088,0.786773664269974,0,0,0,0,0.006746573275164,0.002631720406912,0.013226335730026,0,0
50,0,3,0,0.2,0.8,0,3,0,0,-0.015242868643407,0.200930342264422,0.771948242368734,0,0,0,0,0.015242868643407,-0.000930342264422,0.028051757631266,0,0
51,0,3,0,0.2,0.8,0,3,0,0,0.005499800670123,0.201141707355279,0.822835935388668,0,0,0,0,-0.005499800670123,-0.001141707355279,-0.022835935388668,0,0
