Run #,AR Order,MA Order,MA 1-lag Coeff,MA 2-lag Coeff,MA 3-lag Coeff,MA 4-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Fitted MA 3-lag Coeff,Fitted MA 4-lag Coeff,Fitted MA 5-lag Coeff,Fitted MA 6-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff,Diff in MA 3-lag Coeff,Diff in MA 4-lag Coeff,Diff in MA 5-lag Coeff,Diff in MA 6-lag Coeff
0,0,4,0,0,0,0.8,0,4,0,0,0.016307083913651,-0.008360838054644,-0.009707906626549,0.777029811728975,0,0,0,0,-0.016307083913651,0.008360838054644,0.009707906626549,0.022970188271025,0,0
1,0,4,0,0,0,0.8,0,4,0,0,0.021922670073359,0.002576513024606,-0.008122321950123,0.822670137229683,0,0,0,0,-0.021922670073359,-0.002576513024606,0.008122321950123,-0.022670137229683,0,0
2,0,4,0,0,0,0.8,0,4,0,0,0.025203797075569,0.015469620926507,0.007734190486279,0.79340715031006,0,0,0,0,-0.025203797075569,-0.015469620926507,-0.007734190486279,0.00659284968994,0,0
3,0,4,0,0,0,0.8,0,4,0,0,0.007187466579827,-0.008108804405556,-0.035670335930232,0.775870316791199,0,0,0,0,-0.007187466579827,0.008108804405556,0.035670335930232,0.024129683208802,0,0
4,0,4,0,0,0,0.8,0,4,0,0,-0.02492564947633,-0.049221791482442,0.009556579316596,0.783765554654095,0,0,0,0,0.02492564947633,0.049221791482442,-0.009556579316596,0.016234445345905,0,0
5,0,4,0,0,0,0.8,0,4,0,0,-0.001777976769916,-0.010433989998007,0.001970783403883,0.787120982612862,0,0,0,0,0.001777976769916,0.010433989998007,-0.001970783403883,0.012879017387138,0,0
6,0,4,0,0,0,0.8,0,4,0,0,0.023085811031804,-0.0033191512507,0.008035812006943,0.805728501039925,0,0,0,0,-0.023085811031804,0.0033191512507,-0.008035812006943,-0.005728501039926,0,0
7,0,4,0,0,0,0.8,0,4,0,0,-0.004249140498345,-0.010985781510656,0.002009975887638,0.799484713138162,0,0,0,0,0.004249140498345,0.010985781510656,-0.002009975887638,0.000515286861838,0,0
8,0,4,0,0,0,0.8,0,4,0,0,-0.032833501980721,-0.015943882730485,0.025967442538644,0.831295921707688,0,0,0,0,0.032833501980721,0.015943882730485,-0.025967442538644,-0.031295921707688,0,0
9,0,4,0,0,0,0.8,0,4,0,0,-0.014040974970967,0.003447500172273,-0.001619249057452,0.82960414269684,0,0,0,0,0.014040974970967,-0.003447500172273,0.001619249057452,-0.02960414269684,0,0
10,0,4,0,0,0,0.8,0,4,0,0,-0.001784292800483,0.01440983809462,0.010295914506854,0.794099526195296,0,0,0,0,0.001784292800483,-0.01440983809462,-0.010295914506854,0.005900473804704,0,0
11,0,4,0,0,0,0.8,0,4,0,0,0.021860863708059,-0.006208685072086,-0.00773938270524,0.781577772116972,0,0,0,0,-0.021860863708059,0.006208685072086,0.00773938270524,0.018422227883028,0,0
