Run #,AR Order,MA Order,MA 1-lag Coeff,MA 2-lag Coeff,MA 3-lag Coeff,MA 4-lag Coeff,MA 5-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Fitted MA 3-lag Coeff,Fitted MA 4-lag Coeff,Fitted MA 5-lag Coeff,Fitted MA 6-lag Coeff,Fitted MA 7-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff,Diff in MA 3-lag Coeff,Diff in MA 4-lag Coeff,Diff in MA 5-lag Coeff,Diff in MA 6-lag Coeff,Diff in MA 7-lag Coeff
0,0,5,0,0.5,0,0,0.5,0,5,0,0,-0.027226874082404,0.542913072436861,-0.000874712550838,0.056198914642357,0.524330190621734,0,0,0,0,0.027226874082404,-0.042913072436861,0.000874712550838,-0.056198914642357,-0.024330190621734,0,0
1,0,5,0,0.5,0,0,0.5,0,5,0,0,0.051255367360112,0.540062942179965,0.076702694953036,-0.020549076369086,0.490618993403203,0,0,0,0,-0.051255367360112,-0.040062942179965,-0.076702694953036,0.020549076369086,0.009381006596797,0,0
2,0,5,0,0.5,0,0,0.5,0,5,0,0,-0.003913814121258,0.505162808274212,-0.012914074362551,0.022999534846432,0.528963874248874,0,0,0,0,0.003913814121258,-0.005162808274212,0.012914074362551,-0.022999534846432,-0.028963874248874,0,0
3,0,5,0,0.5,0,0,0.5,0,5,0,0,-0.00302357947604,0.483419204042246,0.023945649233863,-0.038453151859061,0.545814084552226,0,0,0,0,0.00302357947604,0.016580795957754,-0.023945649233863,0.038453151859061,-0.045814084552226,0,0
4,0,5,0,0.5,0,0,0.5,0,5,0,0,0.020941561516696,0.494529292850682,0.035953585115268,-0.007255155324627,0.498203728969837,0,0,0,0,-0.020941561516696,0.005470707149318,-0.035953585115268,0.007255155324627,0.001796271030163,0,0
5,0,5,0,0.5,0,0,0.5,0,5,0,0,0.013345152934636,0.508288338797848,0.007357459344183,-0.007607449983068,0.497800256107735,0,0,0,0,-0.013345152934636,-0.008288338797848,-0.007357459344183,0.007607449983068,0.002199743892265,0,0
6,0,5,0,0.5,0,0,0.5,0,5,0,0,0.011464954085035,0.539982741117369,0.003648919261816,0.017229417586794,0.456950759894296,0,0,0,0,-0.011464954085035,-0.039982741117369,-0.003648919261816,-0.017229417586794,0.043049240105704,0,0
7,0,5,0,0.5,0,0,0.5,0,5,0,0,0.003643031234029,0.509936884489233,-0.02598832055815,-0.028486883327453,0.487542930511589,0,0,0,0,-0.003643031234029,-0.009936884489233,0.02598832055815,0.028486883327453,0.012457069488412,0,0
8,0,5,0,0.5,0,0,0.5,0,5,0,0,-0.022534927177028,0.516449254417771,-0.05556836405736,-0.009473727271154,0.451217485506127,0,0,0,0,0.022534927177028,-0.016449254417772,0.05556836405736,0.009473727271154,0.048782514493873,0,0
9,0,5,0,0.5,0,0,0.5,0,5,0,0,0.007757126152843,0.497450790495752,0.07871636790648,0.045257951659934,0.567819299746109,0,0,0,0,-0.007757126152843,0.002549209504248,-0.07871636790648,-0.045257951659934,-0.067819299746109,0,0
10,0,5,0,0.5,0,0,0.5,0,5,0,0,-0.031716450447764,0.493073666772251,-0.018101961244957,0.025759504210366,0.4884944537838,0,0,0,0,0.031716450447764,0.006926333227749,0.018101961244957,-0.025759504210366,0.0115055462162,0,0
11,0,5,0,0.5,0,0,0.5,0,5,0,0,-0.007255572026594,0.484321843862811,-0.003140062254878,-0.007759754942707,0.528999004091067,0,0,0,0,0.007255572026594,0.015678156137189,0.003140062254878,0.007759754942707,-0.028999004091067,0,0
12,0,5,0,0.5,0,0,0.5,0,5,0,0,0.037267420549686,0.507931656338583,0.046663190248443,0.017595702903689,0.521464289787761,0,0,0,0,-0.037267420549686,-0.007931656338584,-0.046663190248443,-0.017595702903689,-0.021464289787761,0,0
