Run #,AR Order,MA Order,AR 1-lag Coeff,AR 2-lag Coeff,AR 3-lag Coeff,AR 4-lag Coeff,AR 5-lag Coeff,AR 6-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted AR 3-lag Coeff,Fitted AR 4-lag Coeff,Fitted AR 5-lag Coeff,Fitted AR 6-lag Coeff,Fitted AR 7-lag Coeff,Fitted AR 8-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in AR 3-lag Coeff,Diff in AR 4-lag Coeff,Diff in AR 5-lag Coeff,Diff in AR 6-lag Coeff,Diff in AR 7-lag Coeff,Diff in AR 8-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff
0,6,0,0,0,0.4,0,0.3,0.3,6,0,0.03353964141878339,0.030746559166088584,-0.4059117235022276,-0.007222350403664882,-0.3271665741816582,-0.30016550775304074,0,0,0,0,0.03353964141878339,0.030746559166088584,-0.005911723502227573,-0.007222350403664882,-0.027166574181658187,-0.00016550775304075005,0,0,0,0
1,6,0,0,0,0.4,0,0.3,0.3,6,0,0.054854955481483184,-0.01476704114432654,-0.4401264876143498,0.04077284389243075,-0.262542041963208,-0.3055587867002271,0,0,0,0,0.054854955481483184,-0.01476704114432654,-0.04012648761434978,0.04077284389243075,0.03745795803679197,-0.005558786700227136,0,0,0,0
2,6,0,0,0,0.4,0,0.3,0.3,6,0,0.04752136242600703,0.023665145007403174,-0.41389474804121856,0.0404645845884653,-0.2655323978875377,-0.3079842979536831,0,0,0,0,0.04752136242600703,0.023665145007403174,-0.013894748041218541,0.0404645845884653,0.0344676021124623,-0.007984297953683106,0,0,0,0
3,6,0,0,0,0.4,0,0.3,0.3,6,0,0.032653940813320154,0.054917527898881664,-0.4118917309645374,-0.0005588613256725349,-0.26807953989682726,-0.2629057030464563,0,0,0,0,0.032653940813320154,0.054917527898881664,-0.011891730964537384,-0.0005588613256725349,0.03192046010317273,0.037094296953543715,0,0,0,0
4,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.011261740972486084,-0.032607700017405726,-0.40622349900679366,0.010909169622718963,-0.2859627998564129,-0.27688493885315474,0,0,0,0,-0.011261740972486084,-0.032607700017405726,-0.006223499006793642,0.010909169622718963,0.014037200143587114,0.02311506114684525,0,0,0,0
5,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.026943334595246546,0.024429805617227136,-0.39496204753268754,-0.01060651050583574,-0.33851397418436796,-0.2924617868629785,0,0,0,0,-0.026943334595246546,0.024429805617227136,0.005037952467312479,-0.01060651050583574,-0.03851397418436797,0.0075382131370214656,0,0,0,0
6,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.02425771350651701,0.008580906486535684,-0.39824037782046134,-0.03152275184873164,-0.2994580932581715,-0.29971163786992966,0,0,0,0,-0.02425771350651701,0.008580906486535684,0.001759622179538678,-0.03152275184873164,0.0005419067418284684,0.00028836213007032985,0,0,0,0
7,6,0,0,0,0.4,0,0.3,0.3,6,0,0.05242057562219643,-0.014994448216796234,-0.4134459314437146,0.006134650488572738,-0.31081965891865104,-0.2455528054656264,0,0,0,0,0.05242057562219643,-0.014994448216796234,-0.013445931443714587,0.006134650488572738,-0.010819658918651054,0.05444719453437358,0,0,0,0
8,6,0,0,0,0.4,0,0.3,0.3,6,0,0.015753383444136557,-0.022877487290123986,-0.4407692967367436,0.011735239488452062,-0.2807232651846418,-0.3360474602472526,0,0,0,0,0.015753383444136557,-0.022877487290123986,-0.040769296736743565,0.011735239488452062,0.019276734815358187,-0.03604746024725264,0,0,0,0
9,6,0,0,0,0.4,0,0.3,0.3,6,0,0.018495441221483597,0.04131755298942914,-0.3833482051723242,-0.1088005836316081,-0.2982043903369344,-0.2056683071650608,0,0,0,0,0.018495441221483597,0.04131755298942914,0.016651794827675814,-0.1088005836316081,0.0017956096630655782,0.0943316928349392,0,0,0,0
10,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.04873917901450557,0.030547339310889553,-0.45484445904582693,-0.004165850769301042,-0.28221677222284236,-0.26857837155039443,0,0,0,0,-0.04873917901450557,0.030547339310889553,-0.05484445904582691,-0.004165850769301042,0.01778322777715763,0.031421628449605554,0,0,0,0
11,6,0,0,0,0.4,0,0.3,0.3,6,0,0.01784659798482152,-0.034161084823214276,-0.4171915807667703,0.015373844765509808,-0.33420177376816457,-0.26479353159224095,0,0,0,0,0.01784659798482152,-0.034161084823214276,-0.017191580766770298,0.015373844765509808,-0.03420177376816458,0.03520646840775904,0,0,0,0
