Iteration,Particle 0's RDSE Resolution,Particle 0's SIBT,Particle 0's twoWeight,Particle 0's threeWeight,Particle 0's fourWeight,Particle 0's fiveWeight,Particle 0's sixWeight,Particle 0's sevenWeight,Particle 0's eightWeight,Particle 0's nineWeight,Particle 0's Error,Particle 1's RDSE Resolution,Particle 1's SIBT,Particle 1's twoWeight,Particle 1's threeWeight,Particle 1's fourWeight,Particle 1's fiveWeight,Particle 1's sixWeight,Particle 1's sevenWeight,Particle 1's eightWeight,Particle 1's nineWeight,Particle 1's Error,Particle 2's RDSE Resolution,Particle 2's SIBT,Particle 2's twoWeight,Particle 2's threeWeight,Particle 2's fourWeight,Particle 2's fiveWeight,Particle 2's sixWeight,Particle 2's sevenWeight,Particle 2's eightWeight,Particle 2's nineWeight,Particle 2's Error,Particle 3's RDSE Resolution,Particle 3's SIBT,Particle 3's twoWeight,Particle 3's threeWeight,Particle 3's fourWeight,Particle 3's fiveWeight,Particle 3's sixWeight,Particle 3's sevenWeight,Particle 3's eightWeight,Particle 3's nineWeight,Particle 3's Error,Particle 4's RDSE Resolution,Particle 4's SIBT,Particle 4's twoWeight,Particle 4's threeWeight,Particle 4's fourWeight,Particle 4's fiveWeight,Particle 4's sixWeight,Particle 4's sevenWeight,Particle 4's eightWeight,Particle 4's nineWeight,Particle 4's Error,Particle 5's RDSE Resolution,Particle 5's SIBT,Particle 5's twoWeight,Particle 5's threeWeight,Particle 5's fourWeight,Particle 5's fiveWeight,Particle 5's sixWeight,Particle 5's sevenWeight,Particle 5's eightWeight,Particle 5's nineWeight,Particle 5's Error,Particle 6's RDSE Resolution,Particle 6's SIBT,Particle 6's twoWeight,Particle 6's threeWeight,Particle 6's fourWeight,Particle 6's fiveWeight,Particle 6's sixWeight,Particle 6's sevenWeight,Particle 6's eightWeight,Particle 6's nineWeight,Particle 6's Error,Particle 7's RDSE Resolution,Particle 7's SIBT,Particle 7's twoWeight,Particle 7's threeWeight,Particle 7's fourWeight,Particle 7's fiveWeight,Particle 7's sixWeight,Particle 7's sevenWeight,Particle 7's eightWeight,Particle 7's nineWeight,Particle 7's Error,Particle 8's RDSE Resolution,Particle 8's SIBT,Particle 8's twoWeight,Particle 8's threeWeight,Particle 8's fourWeight,Particle 8's fiveWeight,Particle 8's sixWeight,Particle 8's sevenWeight,Particle 8's eightWeight,Particle 8's nineWeight,Particle 8's Error,Particle 9's RDSE Resolution,Particle 9's SIBT,Particle 9's twoWeight,Particle 9's threeWeight,Particle 9's fourWeight,Particle 9's fiveWeight,Particle 9's sixWeight,Particle 9's sevenWeight,Particle 9's eightWeight,Particle 9's nineWeight,Particle 9's Error,Particle 10's RDSE Resolution,Particle 10's SIBT,Particle 10's twoWeight,Particle 10's threeWeight,Particle 10's fourWeight,Particle 10's fiveWeight,Particle 10's sixWeight,Particle 10's sevenWeight,Particle 10's eightWeight,Particle 10's nineWeight,Particle 10's Error,Particle 11's RDSE Resolution,Particle 11's SIBT,Particle 11's twoWeight,Particle 11's threeWeight,Particle 11's fourWeight,Particle 11's fiveWeight,Particle 11's sixWeight,Particle 11's sevenWeight,Particle 11's eightWeight,Particle 11's nineWeight,Particle 11's Error,Average Error
0,9.32652724703133,21.0914663282348,3.93745099889405,7.44309775828309,3.47304453306559,7.881363514084,8.52233033334784,5.73344922538186,5.22765390852662,9.4019700138787,0.194574205811858,8.61326672284769,36.4528683783945,8.4943008341599,2.53514225472427,8.18368432544259,3.44049724581677,9.73579562944089,2.48701082740966,4.46006989357693,0.477991128304034,0.13294561947019,8.70828616771404,42.2359922900187,8.56646359628956,3.33763266740774,6.16402726905307,7.39859326222209,8.36235649629709,2.27570923540995,8.28683110370004,1.01298167662109,0.174956379681588,9.27046161540033,37.7385423180526,9.5930833495068,3.22759777426178,1.1148060254596,5.81846835542676,9.08830326096112,7.00228301005868,5.60485290707675,7.56770577728162,0.198735196945975,6.72979426739065,19.8378369707734,9.21258325764836,1.03626026548516,9.56074958564955,8.14573085877779,8.87451103318388,2.93912258844227,5.70106781801174,0.822116011666975,0.177181955933419,4.58082856299349,32.3947525812407,2.15968095849281,0.124183542787517,2.4368020120703,0.207739536280285,6.12220514441083,8.37930719844623,4.14525840851086,5.5122615395764,0.144187920519041,8.6239825979775,13.1778670219014,3.70228501889963,9.00052859824194,9.369221719705,3.20154723080763,3.57074171878699,9.58091092804067,1.34492802036275,8.5994469990915,0.197427719231576,7.22864110465922,36.0053123341288,7.17564535902027,6.44965961400367,5.54072825767678,9.8507708477947,4.65286435701947,5.74259153281252,0.532014553266679,6.18805940731398,0.147066118341774,7.77404906959002,3.27063797218138,7.18868794114071,5.6975362637648,9.47351127092011,7.27760501411386,7.13612188381989,4.90809816351757,7.04217819604018,9.42748152713156,0.182696222689562,6.77728829429485,34.0660864810915,3.14458592703447,0.067753417111077,6.09594434894405,7.12113713878887,3.58349513914046,1.1968338321612,9.77353849046032,6.13850459930515,0.102046710012641,3.83650066943862,4.45528629949742,9.4614713939693,5.7400288955069,9.49029890338727,3.87451140619173,4.07574187079748,6.96415055352506,1.38509503359091,3.43295337133032,0.192758716711499,5.3780411940969,37.5907693408533,5.23867273761092,0.204007616587076,6.06159426725662,9.82010122814241,0.591462007366872,3.73146981712359,1.68513111783034,9.63599756249254,0.152813178573465,0.166449161993549
1,9.45879358078154,32.6884552402024,4.07274299993946,1.2403950520963,4.7367451709682,7.91544999922123,7.32559557113432,4.27570031702722,8.62135501060666,9.31033425328624,0.143272235071122,7.88046112922177,36.295495100439,5.31099173124487,0.720322223458199,5.58640188855732,6.05319548110255,7.0839723116791,1.37979544223268,6.18607679868133,4.77273098743256,0.152937163762259,8.41588275174008,35.0541646517205,3.75825663348927,1.01756762713866,5.46692473337027,6.9564296736678,5.32458061381635,2.15809909022605,8.77044654213873,3.32774532970396,0.168816310334569,8.86086938211362,35.9484405954414,9.49219820213059,2.23493069146039,3.25081581335488,7.32662276272636,5.67421461803389,3.72981914003813,9.03109454069181,7.20304698364311,0.192020408338239,7.85433896947361,30.2297500921116,7.91582822940134,0.95952137041226,9.74761855964379,6.75287224449446,6.08998548082394,3.02618575616328,10,5.31226920538705,0.130419293556203,6.29539825573448,32.5421617685784,3.55582542893819,0.25012044370631,5.23933763154465,1.09542974876794,5.11070323639275,1.85181042003422,9.25227936435762,7.09713565068187,0.146344941150418,9.43212523177055,26.5854967646641,3.5506731350549,0.468185464132286,9.75682908069185,6.71412967152456,3.595943601342,6.05954546608169,8.52941149641446,8.07393218478263,0.145365185118929,6.93954430731046,34.5152130656708,5.50016280689091,1.65752561509614,6.17356293694606,9.48006042871335,2.67051184264476,2.31208647723071,5.02070104345794,5.39928718392703,0.138153271387558,8.735562954441,27.9849681659961,3.2405913010355,2.97855952047342,6.49521470353975,6.88766934722397,4.33013345417967,2.90523656023753,8.68427871848747,7.2038653274214,0.192553925423182,6.84278664865654,34.5729232348373,3.6562098686062,0,6.31930038058701,7.69054334552408,2.87804493392336,0.495557636105132,10,6.12744971096035,0.172098988418426,3.51890992481685,17.1319706239022,9.47916616521504,3.57585221143702,9.00297253567876,3.3646837422561,3.65709909921879,2.79517632362372,10,4.11377950141369,0.16148088481856,5.76905814761039,34.5176434674126,3.37541551380843,0,6.97227440557444,8.20824663904678,4.18621715434006,4.01808086021899,4.63691564367213,7.51354473968189,0.093175989414452,0.153053216399493
2,8.37999285018753,45.9044722618057,4.11528037482913,0,7.4548550884554,8.2233918524127,3.39072055524923,2.70952512552319,10,7.98846115511113,0.111936111545398,6.63645946433781,34.6955733815043,0.155077366288659,0,3.39469177711349,9.60180534788527,3.13660712309646,0.714779106369537,7.75083333575912,10,0.153797903224746,6.5329629086365,27.0817555109431,0,0,4.87718576209719,6.84322776154742,1.2266176545106,2.12286111305535,7.10289605658853,7.34801090423922,0.191074461846042,7.88799289577308,33.0799823492768,5.47430643949728,0,6.09396966154735,9.60218919684406,1.43179653875414,0.465349768365873,8.77844209377867,7.09018801414974,0.123782303749049,7.58908450778178,44.1363756408624,6.15410159154623,0.084472978286493,7.68005730014289,6.51912898774535,2.83345598076211,3.91853642902886,10,10,0.233537257573911,7.7765126498773,32.8921682236276,4.89511865075079,0.285458337590047,9.26719776803535,5.81086764925594,3.15638040163572,0,10,8.9718144499518,0.132449513880519,9.8215001556568,43.8266661361886,3.38497067756346,0,8.61109132303248,10,4.15840449666114,0.55615138286071,10,7.43872367482948,0.16097661115995,6.18844477162298,32.9218776897264,2.34396738118695,0,7.57743586169054,8.34837041923855,0.570918918560394,0,9.51425018749996,5.12246748505246,0.148475171198441,7.1613003284395,50,0,0,3.32445110663818,7.43163637368012,1.31432024970151,0.899840501741445,8.02171353025907,4.82844468985555,0.156093835111414,5.98216735379543,35.1137546655669,4.01655363506901,0,7.04915392892912,8.4700235924295,3.02415731911041,1.39477769375771,5.65766602602141,6.2282488504025,0.114791137174959,3.86587969880513,32.5980619346,4.78214978718066,1.0033712912934,8.1814180926582,6.43409237251624,3.21369329265444,0,10,6.88281839980974,0.195250907747591,6.18777213533108,31.226837844603,1.38017756998659,0,7.94746105368977,6.48221901655687,8.03560079089051,4.32499351886698,7.79778490676105,5.24075150858882,0.14229517728856,0.155371699291715
3,4.89177410315836,50,3.70101248621869,0,10,8.54141964026043,0,1.91770967120274,10,6.4715893489691,0.155634122984383,5.21147850806982,32.9323813555606,0,0,3.52351000958823,10,0,0.217825782620016,8.39822875831116,10,0.128604034360986,4.51560227330105,23.6583316020754,0,0,4.95709551345209,7.573913021695,0,2.86930019030448,4.27981839770231,10,0.202293570888869,4.93397615492394,30.8658884518743,0.610038483859109,0,9.73710132947048,10,0,0,8.4223272899432,7.09553969224099,0.15954592484083,6.25805378331584,50,2.63335090526333,0,5.46481134406125,6.50774500276593,0,4.8757644896638,7.75425239671123,10,0.169643525047108,8.5228125317839,33.4948940813438,6.20696583847981,0.304761320395094,10,10,1.87926034071895,0,10,10,0.155692128570886,9.77446784995175,50,3.20529443002596,0,7.3227850459388,10,4.75261772653969,0,10,6.8310120106476,0.182326583356763,5.18414434822935,31.5464862862528,0,0,8.71093946134208,7.06424434378628,0,0,10,5.01232547234241,0.130652862429979,4.75239233488623,50,0,0,0.50001993639961,8.04028549457321,0,1.16858900012852,6.87816973803822,3.14176533600186,0.123179605252509,4.96754683808521,35.2267835241697,3.82904680968062,0,7.75758558722712,9.09028873394918,4.01863828424627,4.29991584816204,0.890198281945244,6.36303689685629,0.126650212243825,5.55732851962129,49.5266888544308,0,0,6.48496728338186,10,3.38146180030134,0,10,10,0.130007679402221,6.48237085512686,29.9723590790576,0.452025089433968,0,8.21589689978679,5.13188980105773,10,4.62897897193051,10,3.01470985941946,0.18953194914738,0.154480183210478
4,3,50,3.00455501799027,0,10,8.71046490784409,0,2.62824321183799,10,5.76671224349766,0.175708019908548,3.88541860382917,31.9207161324291,0,0,4.35604635414615,10,0,1.94343462451531,6.5342213784294,10,0.121231034831373,3.07628435874664,25.7950863014161,0,0,5.68710021330479,8.40485817356823,0,4.37318118145116,1.59526216758418,10,0.242228737189638,3,29.6691623781039,0,0,10,10,0,1.64345809092701,7.39884157194736,7.37427668013987,0.155308725662982,4.62191171470552,50,0,0,3.55470909800141,6.95733332214996,0,5.47002697068117,3.51659460147368,10,0.15235750358655,7.05969559198165,34.6391803825799,5.88258731892714,0.303592530133102,10,10,1.13973611790848,0,7.37080739101228,10,0.173326577488503,6.32396101152596,50,3.12066834340566,0,5.97487365270114,10,4.90099922261504,0,6.34800291167515,6.77233517657655,0.199170507358224,4.22491202904643,31.3374302862787,0,0,9.76233612418419,5.97975817533772,0.744301348321079,0.271985607981429,10,6.86484433997625,0.133404579605171,3.16686421780523,50,0,0,0,8.77563720590741,0,3.5774551149725,4.34178428971133,4.17127481743075,0.111741738997014,4.1411844310559,35.1133182597019,3.42303317021818,0,8.10328605557189,9.2248929198214,5.11062759331338,6.9988284532044,0,7.3948930357442,0.156583923355526,7.34547565094935,50,0,0,4.99722736800163,10,4.19795747333671,0,8.9686201946313,10,0.242042445366448,6.17071406933287,31.9820757081898,1.61861136095473,0,7.92230912736595,4.45033224642722,7.23522072974325,4.5711360092283,10,4.053585765553,0.194611884054961,0.171476306450411
5,3,48.0707744341485,2.4282233926461,0,9.91732638505455,8.52750487857114,0,4.24607353666395,10,5.1786938932165,0.153491672268951,3,32.7118015165795,0,0,5.43867476852592,10,0,4.36972466088918,4.06410099933273,10,0.251238554496554,3,32.1825714908815,0.21938325643295,0,6.74725700255784,9.10716071049081,0,5.82299561232228,0.527556858350725,10,0.124196541415161,3,30.4618686965549,0,0,10,10,0,3.32748325608717,4.6036899732386,7.67350075486472,0.180022392393941,3.02287923798918,42.2745454232884,0,0,3.66185096368247,8.36365382920595,0,5.20957439325127,0.191916784738529,10,0.132876731251031,5.26451611076006,35.7487173692521,5.1475852966617,0.301003052699288,10,10,0.876307675789474,0,4.26432635869339,8.79438587941459,0.195015763749738,3,50,3.15692290592659,0,4.66649763509075,10,4.98357317145212,0.182233108797099,2.15477614668251,6.87694609840356,0.114302311147522,3.74187725908395,33.5680991585215,1.51060634471597,0,9.25088511746849,6.7639586992283,2.23057005771191,3.0056117644304,8.66636962075159,8.81203752683557,0.158427378748553,3,50,0,0,0,9.43392674883194,1.6926745368661,6.01544974677786,1.96541319708489,6.26389629396022,0.135247399020434,4.06304092917358,34.9292145242728,3.00355416297055,0,7.51262684762509,9.14793655130485,5.53750622198224,9.09301937324938,0,8.49564017896102,0.105321103238057,9.0674770274959,50,0,0,4.54632318445323,10,4.99345405920767,0,5.16373239292911,10,0.193060597196349,5.83585359769852,34.2658694312352,3.30673473846698,0,6.90754192493417,5.45644863321447,3.7335830770477,4.27854500966643,6.74702859231725,7.07975954004705,0.133925932237346,0.15642719809697
6,3.45237090440506,40.0713306753057,1.94653503878483,0,8.36641276959499,8.2851410734195,0,5.73324930019568,6.41194858918082,5.26182643196354,0.119841725556069,3.92816581631764,34.0549755616507,0.046300090954472,0,6.6407796964212,9.91232866807979,0,6.59540858973246,1.97100500701773,10,0.152271923273087,3.49576518277608,39.7375882496069,0.886136089737131,0,7.84510359881221,9.37292791231953,0.226414316349586,6.84551427342239,2.15404667797122,10,0.211577139238161,3,32.6783977323566,0,0,10,9.05199352296082,0,4.99962715182599,1.94615391916344,7.95210868566448,0.138822318261727,3,33.2548740460224,1.67313667260158,0,5.24891458704225,9.66398209292474,0,4.74364748486678,0,10,0.129060245469083,3.61221024218106,36.4987273605185,3.3158852933349,0.250124911439445,8.80235060150918,10,1.33173648975237,0,1.36540548660424,7.47606764475797,0.130338574967674,3,47.9965706094644,3.29177763292861,0,3.60129873154478,10,4.5957722189509,2.22385294875993,0,7.42116973657341,0.118354332626417,4.54815270884997,35.9386438609134,3.86084716887851,0,7.49391053446667,8.31136818018813,4.86882426548936,5.86579941527642,6.60030539232927,10,0.087936682021101,3,48.2563248925463,1.70902254670235,0,0.270563898823789,9.58565388123054,5.10255495552297,7.93860155275582,0.473284814403233,8.73401882663709,0.174030929543269,5.141411978356,34.5583441681007,2.85232672755077,0,6.91055117191281,9.00578630598178,5.89126144219539,7.34672719004056,0,9.32939436205887,0.105310674140696,10,47.1785906794588,0,0,5.94797567160909,10,5.1504831706486,0.231826417818527,1.45174737457688,10,0.217756505300634,5.47312283473071,36.4697324561394,4.95885550316524,0,5.95187342306074,8.27996199578192,0.57635128262452,3.89533412521246,3.41771840777352,10,0.168288363339046,0.146132451144747
7,4.57898075343943,30.8931434995333,1.85386084519317,0,6.51292752883187,8.06227392197392,0,7.18830143833703,3.14880412738138,6.77402979229547,0.17037746447232,5.23408851639777,35.7974343445306,2.14427934757841,0,8.01357894718928,9.2312006614794,0.270165108403721,8.453067002919,2.13333833650779,10,0.173645134822246,4.20261554514471,46.6802730591877,2.9272938769233,0,8.6632696504365,9.37834147688589,0.492872755969291,7.46875378608283,5.21368115095083,10,0.123327515432701,3.22213386919519,37.0460507165141,1.26918170918734,0,9.40044798946051,7.9343570775539,0.751388739313095,6.85630360681496,2.5199814039666,8.75120530656508,0.207821273597087,3.21698183867491,26.9086031645462,4.38755703690017,0,7.59433387964647,10,0.298371455347425,4.55246377477352,1.48226063621467,10,0.1578791537828,3,36.8651284905362,1.85304239417041,0.021447659718733,7.3236557597969,10,2.46159076678599,3.04449109803519,0.191121150345903,6.33592204525723,0.150760545879106,3,40.9950114631083,3.76902359494801,0,5.2904220951691,10,4.29142940119036,4.29287095004787,2.14002148157772,8.87903178946683,0.127362420532816,5.29395749988355,38.1313977106259,6.03481993122887,0,5.86870904518998,9.74272195007598,7.30920940768351,8.51147299230899,4.68919598103862,10,0.142131084180064,3.77758603291332,44.1288767816075,3.77494715192422,0,3.72633739499709,9.47976907616361,8.15940147433817,9.37713297554191,1.22686643415212,10,0.144956670011357,5.97739351820392,34.6493500664959,2.77380669416773,0,6.38264772753038,8.41113441380898,5.59347364678996,5.20585437624039,2.07092091693763,10,0.181059675899798,8.95534137420851,39.6084027504,0.079432023846257,0,7.42907956960889,10,5.27839303666601,0.482139599326152,0,10,0.152539436140928,4.68808237534435,38.5074743636666,6.37714287835281,0,6.02404797650949,10,0.530408450994469,3.59841481750473,2.69684423510436,10,0.140056312707057,0.15599305728819
8,5.5845246321652,26.2216157975284,2.61438431420399,0,5.05016386166713,7.9695754041732,1.74623254534478,8.40174291733695,1.91012527873633,10,0.128514290656864,6.066341445282,37.3942705939058,4.3807727567226,0,9.15682909429268,8.41948268808623,1.29617926226927,9.83275741738795,4.13825100517906,10,0.185648822111236,4.87238422096381,47.0383077849532,5.13888334891533,0,8.86252980227436,8.96591369797742,3.63728264626213,7.48975681638382,8.10834718000052,10,0.195918404090396,4.22238390487403,40.8123977687494,3.61469385760084,0,8.6838682490706,7.19129710695459,2.34259342228375,8.12206759446713,3.05553475237375,10,0.170821243971157,3.87046013112221,22.1711245646992,6.72967588020477,0,9.64416696040202,9.7888592496059,2.86863920562686,4.72821148184009,4.56039920509192,10,0.187303593678643,3,36.7099975497719,1.29757836841121,0,6.07282415033997,10,4.24950219377909,6.86523329331543,2.57024833910336,6.17778187720866,0.162516733715308,3,33.0232522549238,4.25698332206158,0,7.29552870561236,10,4.2854715251889,6.40203526098893,4.86005183349756,10,0.129053839773058,5.45914872383464,39.4791498278405,6.50613391130106,0,5.04197451950648,10,8.1217859474222,10,3.04646420332276,10,0.205611373123753,4.63112740073562,39.0690051107089,5.65979087206014,0,8.65041664820427,8.84957549620873,10,8.80188825099185,4.4043541885507,10,0.185532246897357,6.5196738678153,34.8200132977995,2.94177097499931,0,6.68335053768437,7.81814369706998,5.20374527271433,3.65935261837495,7.02260487107798,10,0.158744225522414,5.62823488548691,31.6172766168813,1.93982513369865,0,8.77212328284158,9.87261061450009,5.18255687337177,3.07200650434455,2.21172064352188,10,0.172605138334575,3.93306937536508,39.9796412312132,6.29787295096524,0,6.87660318787932,10,1.14184301010443,4.35627316935732,4.11851043046246,10,0.12361707489403,0.167157248897399
9,6.0020473232677,25.3755300785013,3.59532108841131,0,4.52029927372335,7.97022368068621,5.20380143023187,8.75087890474312,3.86828516179006,10,0.157827025423466,6.18576822211359,38.6651475938155,6.14771849329746,0,9.45482241259772,7.65579369451748,2.9286402537577,10,5.96597452335798,10,0.120333651599614,5.3970217605603,46.216166808346,6.7045348692142,0,8.7538473783463,8.59855676760498,6.63153288373498,6.56660018054638,10,10,0.164333094858719,5.1466459821563,41.1899759848871,5.68231166929315,0,7.39529222255092,6.9515128412547,5.08845821848488,8.35060755746475,4.22203333747444,10,0.121777301666956,4.77669427441511,26.4987259217524,7.50124869648684,0,10,9.50064496951924,5.72189330264503,5.29154761199661,8.03164358723798,10,0.179179813937863,3,36.2829427392148,1.89418262053599,0,5.14922929514879,9.71663250301471,6.20763218778664,9.82809049203464,6.76717805029955,6.51863161613324,0.163101641211838,3,27.4105429553988,4.5404996236365,0,9.15373810394099,9.88391010265575,4.32878418151033,7.99820308443178,8.35184314122505,10,0.114408679402937,5.52446010273809,39.1346489858337,5.73123916694955,0,5.54307023777491,9.90030889695423,8.35296096045303,9.97314548728147,3.32205975127606,10,0.178163953403178,5.35944961672937,33.1722062384555,6.25137253364829,0,10,8.23109098408431,10,6.60050706510317,8.12776776657772,10,0.141960486555512,6.65828837708324,35.0862017725363,3.5981564644366,0,7.00362576416223,7.39742013716868,4.69426588576641,3.4408576811357,10,10,0.157491329733561,3,27.4674157506939,4.16734148671949,0,9.38627524305917,8.73543653603551,4.96524463005796,5.81511164319358,4.87405217439038,10,0.134262288905682,3.40593105246413,41.0858841102484,6.05513759002556,0,8.00960587773148,10,3.96864348638196,5.64458834554503,5.35619828476947,10,0.224990101558112,0.154819114021453
